Provincia,Departamento,Jardines,Población Jardín,Primarias,Población Primaria,Secundarios,Población Secundaria
Buenos Aires,La Matanza,325,157034,333,225872,335,181212
Buenos Aires,La Plata,232,52075,199,77998,206,67326
Buenos Aires,Lomas De Zamora,162,50825,178,76967,191,65257
Buenos Aires,General Pueyrredon,178,41427,169,62565,170,57730
Buenos Aires,Quilmes,162,47353,146,70881,153,60085
Buenos Aires,Almirante Brown,133,43762,137,67913,145,58227
Buenos Aires,Moreno,118,50791,134,76357,134,60359
Buenos Aires,Merlo,110,48007,120,71541,124,59718
Buenos Aires,Lanus,120,28133,116,44506,114,39855
Buenos Aires,Tigre,124,32611,111,51961,109,45401
Buenos Aires,Pilar,105,34493,109,49944,102,41528
Buenos Aires,Florencio Varela,98,44663,98,64455,102,52426
Buenos Aires,General San Martin,100,28038,96,44539,95,39634
Buenos Aires,Bahia Blanca,95,22621,94,33944,81,28746
Buenos Aires,Avellaneda,120,22784,93,37082,78,32476
Buenos Aires,Berazategui,101,25806,92,41462,96,35467
Buenos Aires,San Miguel,87,24752,92,37035,96,30653
Buenos Aires,San Isidro,97,17057,90,26323,88,25052
Buenos Aires,Moron,102,18044,90,28780,86,26584
Buenos Aires,Tres De Febrero,108,21166,87,33616,82,30170
Buenos Aires,Malvinas Argentinas,78,25943,81,40319,86,34959
Buenos Aires,Vicente Lopez,106,14893,76,22610,69,21312
Buenos Aires,Escobar,76,21900,75,31983,76,25714
Buenos Aires,Olavarria,59,8554,73,13055,42,11526
Buenos Aires,Esteban Echeverria,71,27670,71,41112,72,34241
Buenos Aires,Jose C. Paz,55,29597,62,42316,62,34014
Buenos Aires,Tandil,62,9785,60,14723,40,12884
Buenos Aires,San Nicolas,51,12727,56,17845,50,15225
Buenos Aires,Pergamino,54,8676,56,12264,39,10389
Buenos Aires,San Fernando,65,11498,55,17900,48,15461
Buenos Aires,Azul,37,5390,55,8219,27,7066
Buenos Aires,Necochea,43,6914,51,10545,36,9347
Buenos Aires,Chivilcoy,34,4906,50,7181,22,6479
Buenos Aires,Lujan,53,8352,49,12341,37,10388
Buenos Aires,25 De Mayo,38,2706,47,3733,17,3238
Buenos Aires,Hurlingham,47,11620,46,18866,48,16751
Buenos Aires,Junin,42,7543,46,10433,34,8728
Buenos Aires,Trenque Lauquen,41,4016,46,5326,17,4442
Buenos Aires,Ituzaingo,50,10707,45,17692,49,16004
Buenos Aires,Zarate,45,9976,45,15431,37,13300
Buenos Aires,Ezeiza,51,17155,44,25615,44,21089
Buenos Aires,Tres Arroyos,35,4260,43,6392,22,5392
Buenos Aires,San Pedro,30,5781,42,8283,24,7113
Buenos Aires,Campana,40,8120,42,12587,42,10846
Buenos Aires,Lincoln,31,3480,41,4674,18,4080
Buenos Aires,Mercedes,40,5457,41,7882,25,6753
Buenos Aires,Las Flores,15,1982,39,2771,10,2543
Buenos Aires,Cañuelas,29,6225,38,9538,30,7497
Buenos Aires,Chascomus,23,3167,38,4976,18,4223
Buenos Aires,9 De Julio,34,3963,38,5830,20,4999
Buenos Aires,Balcarce,31,3638,38,5070,20,4268
Buenos Aires,Chacabuco,32,3518,37,5344,19,4811
Buenos Aires,Saladillo,25,2716,37,3785,13,3339
Buenos Aires,Bolivar,30,2830,37,3857,15,3206
Buenos Aires,Ayacucho,20,1699,36,2442,12,2150
Buenos Aires,Villarino,23,2586,35,3677,15,3288
Buenos Aires,Lobos,29,3294,35,4668,15,4035
Buenos Aires,Coronel Suarez,33,2881,34,4418,22,3537
Buenos Aires,Pehuajo,28,3474,34,4827,18,4284
Buenos Aires,General Rodriguez,36,14137,33,20970,33,15698
Buenos Aires,General Villegas,30,2797,32,4006,16,3428
Buenos Aires,Loberia,19,1302,32,1865,10,1638
Buenos Aires,San Vicente,28,9859,30,14032,20,10952
Buenos Aires,Navarro,19,1501,30,2341,9,2082
Buenos Aires,Patagones,24,2857,30,4262,15,3335
Buenos Aires,San Andres De Giles,27,2151,29,3031,16,2583
Buenos Aires,Berisso,25,7704,28,11779,26,9722
Buenos Aires,Coronel De Marina L Rosales,24,4705,27,7353,19,6424
Buenos Aires,Baradero,29,3225,27,4372,19,3818
Buenos Aires,Mar Chiquita,19,2519,26,3622,11,3044
Buenos Aires,General Alvear,15,758,26,1137,6,912
Buenos Aires,La Costa,27,7455,25,11364,21,10072
Buenos Aires,General Paz,15,1095,25,1705,6,1390
Buenos Aires,Roque Perez,17,1104,25,1572,6,1316
Buenos Aires,Marcos Paz,22,5973,24,8477,18,7148
Buenos Aires,Rauch,18,1197,24,1761,7,1519
Buenos Aires,Ramallo,12,3451,24,4707,11,4088
Buenos Aires,Coronel Pringles,19,1890,24,2791,10,2166
Buenos Aires,Rojas,20,1851,23,2724,9,2362
Buenos Aires,Magdalena,20,1935,23,2768,15,2260
Buenos Aires,Adolfo Alsina,18,1292,23,1697,12,1437
Buenos Aires,Carlos Casares,18,1731,23,2491,14,2110
Buenos Aires,General Juan Madariaga,20,1548,23,2637,11,2375
Buenos Aires,Dolores,12,2569,22,3369,9,2998
Buenos Aires,Tapalque,14,873,22,1125,5,1059
Buenos Aires,Brandsen,20,2588,22,3997,17,3510
Buenos Aires,Bragado,18,3360,22,4807,16,4203
Buenos Aires,Exaltacion De La Cruz,19,3424,21,4920,14,3860
Buenos Aires,Rivadavia,15,1734,20,2317,10,1873
Buenos Aires,Coronel Dorrego,17,1131,20,1609,10,1418
Buenos Aires,Daireaux,16,1395,20,1986,10,1828
Buenos Aires,Arrecifes,18,2644,20,3542,10,2961
Buenos Aires,Tornquist,15,997,20,1549,11,1238
Buenos Aires,General Alvarado,22,3570,20,4822,19,4254
Buenos Aires,Salto,21,3175,20,4405,14,3794
Buenos Aires,Carmen De Areco,17,1443,19,1927,9,1709
Buenos Aires,Carlos Tejedor,16,1107,19,1557,9,1266
Buenos Aires,Presidente Peron,22,10170,19,14476,17,11730
Buenos Aires,General Viamonte,15,1801,19,2538,9,2039
Buenos Aires,San Antonio De Areco,26,2120,18,2873,10,2569
Buenos Aires,Saavedra,15,1436,18,2109,10,1799
Buenos Aires,Ensenada,18,4917,18,7776,16,6660
Buenos Aires,Puan,14,998,18,1459,13,1232
Buenos Aires,Guamini,15,822,18,1189,8,1063
Buenos Aires,Monte,16,1922,18,3031,10,2380
Buenos Aires,Castelli,7,760,17,1013,3,904
Buenos Aires,Colon,15,2014,16,2851,11,2561
Buenos Aires,General La Madrid,12,866,16,1263,8,980
Buenos Aires,Adolfo Gonzales Chaves,13,950,16,1401,10,1170
Buenos Aires,Laprida,11,901,16,1366,5,1152
Buenos Aires,General Las Heras,15,1466,16,2054,6,1823
Buenos Aires,General Belgrano,11,1618,16,2272,9,1893
Buenos Aires,Leandro N. Alem,11,1361,15,1838,7,1700
Buenos Aires,Pila,8,408,15,592,2,441
Buenos Aires,Punta Indio,9,936,14,1384,6,1047
Buenos Aires,General Guido,4,236,14,338,3,304
Buenos Aires,Suipacha,13,981,14,1328,6,1257
Buenos Aires,Alberti,10,904,13,1378,6,1198
Buenos Aires,Benito Juarez,11,1608,13,2277,10,2015
Buenos Aires,General Pinto,9,1104,13,1321,7,1175
Buenos Aires,Capitan Sarmiento,11,1180,12,1713,6,1441
Buenos Aires,Maipu,9,861,12,1234,5,995
Buenos Aires,Villa Gesell,11,2583,12,4267,12,3801
Buenos Aires,General Arenales,12,1212,11,1535,10,1404
Buenos Aires,Lezama,5,443,11,639,3,570
Buenos Aires,Pinamar,12,3043,10,4519,9,3979
Buenos Aires,San Cayetano,7,615,10,865,3,747
Buenos Aires,Florentino Ameghino,8,876,9,1275,7,1107
Buenos Aires,General Lavalle,7,419,9,636,3,493
Buenos Aires,Hipolito Yrigoyen,6,789,8,1110,5,965
Buenos Aires,Tres Lomas,7,682,7,989,4,831
Buenos Aires,Pellegrini,6,662,6,831,3,610
Buenos Aires,Tordillo,4,244,5,298,1,231
Buenos Aires,Salliquelo,5,653,5,963,4,846
Buenos Aires,Monte Hermoso,5,596,3,942,3,782
Catamarca,Belen,43,2482,57,3513,27,3350
Catamarca,La Paz,28,2352,51,3146,18,2844
Catamarca,Capital,51,14250,46,20132,45,17544
Catamarca,Tinogasta,30,2024,39,2784,19,2684
Catamarca,Santa Maria,27,2179,37,2998,27,2619
Catamarca,Capayan,26,1697,29,2244,13,2043
Catamarca,Ancasti,9,243,28,334,5,322
Catamarca,El Alto,19,394,27,517,10,485
Catamarca,Andalgala,17,1535,26,2037,15,2051
Catamarca,Santa Rosa,7,1154,25,1476,10,1361
Catamarca,Poman,13,988,20,1480,12,1321
Catamarca,Ambato,12,374,18,439,5,401
Catamarca,Valle Viejo,15,2667,18,3862,13,3346
Catamarca,Paclin,15,317,13,512,6,450
Catamarca,Fray Mamerto Esquiu,10,1207,10,1651,7,1397
