Provincia,Departamento,Cantidad de BP fundadas desde 1950
Buenos Aires,La Matanza,15
Buenos Aires,La Plata,14
Buenos Aires,Moreno,13
Buenos Aires,Bahia Blanca,12
Buenos Aires,Tigre,12
Buenos Aires,Lomas De Zamora,10
Buenos Aires,Tandil,10
Buenos Aires,Almirante Brown,10
Buenos Aires,General San Martin,10
Buenos Aires,Florencio Varela,9
Buenos Aires,Avellaneda,9
Buenos Aires,Olavarria,8
Buenos Aires,Quilmes,8
Buenos Aires,Lanus,7
Buenos Aires,Tres Arroyos,6
Buenos Aires,La Costa,6
Buenos Aires,San Fernando,5
Buenos Aires,General Pueyrredon,5
Buenos Aires,Vicente Lopez,5
Buenos Aires,Malvinas Argentinas,5
Buenos Aires,Guamini,5
Buenos Aires,Pilar,5
Buenos Aires,Berazategui,5
Buenos Aires,San Isidro,5
Buenos Aires,Merlo,4
Buenos Aires,Ramallo,4
Buenos Aires,General Villegas,4
Buenos Aires,Coronel De Marina L Rosales,3
Buenos Aires,Lincoln,3
Buenos Aires,Carlos Casares,3
Buenos Aires,Tornquist,3
Buenos Aires,General Pinto,3
Buenos Aires,Villarino,3
Buenos Aires,San Miguel,3
Buenos Aires,Necochea,3
Buenos Aires,Pehuajo,2
Buenos Aires,Puan,2
Buenos Aires,Ensenada,2
Buenos Aires,Brandsen,2
Buenos Aires,Moron,2
Buenos Aires,Ezeiza,2
Buenos Aires,Villa Gesell,2
Buenos Aires,Pinamar,2
Buenos Aires,Tres De Febrero,2
Buenos Aires,Hurlingham,2
Buenos Aires,Coronel Suarez,2
Buenos Aires,Berisso,2
Buenos Aires,General Alvarado,2
Buenos Aires,Lujan,2
Buenos Aires,Leandro N. Alem,2
Buenos Aires,San Antonio De Areco,2
Buenos Aires,Esteban Echeverria,2
Buenos Aires,Bragado,2
Buenos Aires,Rauch,1
Buenos Aires,Salto,1
Buenos Aires,Saladillo,1
Buenos Aires,General Lavalle,1
Buenos Aires,Cañuelas,1
Buenos Aires,General Arenales,1
Buenos Aires,9 De Julio,1
Buenos Aires,Ituzaingo,1
Buenos Aires,Campana,1
Buenos Aires,Rivadavia,1
Buenos Aires,Monte Hermoso,1
Buenos Aires,Bolivar,1
Buenos Aires,Magdalena,1
Buenos Aires,Coronel Dorrego,1
Buenos Aires,Mar Chiquita,1
Buenos Aires,General Guido,1
Buenos Aires,Monte,1
Buenos Aires,Loberia,1
Buenos Aires,San Andres De Giles,1
Buenos Aires,San Cayetano,1
Buenos Aires,Lobos,1
Buenos Aires,Maipu,1
Buenos Aires,Baradero,1
Buenos Aires,Navarro,1
Buenos Aires,General Viamonte,1
Buenos Aires,Tapalque,1
Buenos Aires,Junin,1
Buenos Aires,Tordillo,1
Buenos Aires,San Nicolas,1
Catamarca,Valle Viejo,4
Catamarca,Fray Mamerto Esquiu,4
Catamarca,Capayan,3
Catamarca,Belen,3
Catamarca,Capital,3
Catamarca,Santa Rosa,3
Catamarca,La Paz,2
Catamarca,Poman,2
Catamarca,Paclin,1
Catamarca,El Alto,1
Catamarca,Ambato,1
Chaco,San Fernando,26
Chaco,Libertador General San Martin,5
Chaco,Sargento Cabral,3
Chaco,Chacabuco,3
Chaco,Quitilipi,3
Chaco,Mayor Luis J Fontana,3
Chaco,Bermejo,3
Chaco,9 De Julio,3
Chaco,General Donovan,2
Chaco,Comandante Fernandez,2
Chaco,Presidencia De La Plaza,1
Chaco,O Higgins,1
Chaco,General Guemes,1
Chaco,2 De Abril,1
Chaco,25 De Mayo,1
Chaco,General Belgrano,1
Chaco,Fray Justo Santa Maria De Oro,1
Chaco,12 De Octubre,1
Chubut,Rawson,13
Chubut,Cushamen,7
Chubut,Biedma,7
Chubut,Escalante,7
Chubut,Futaleufu,2
Chubut,Telsen,2
Chubut,Rio Senguer,1
Chubut,Gaiman,1
Chubut,Languiñeo,1
Chubut,Tehuelches,1
Ciudad Autónoma de Buenos Aires,Ciudad Autonoma De Buenos Aires,17
Corrientes,Capital,12
Corrientes,General Paz,2
Corrientes,Paso De Los Libres,2
Corrientes,Monte Caseros,2
Corrientes,Goya,2
Corrientes,Concepcion,2
Corrientes,Santo Tome,2
Corrientes,San Roque,1
Corrientes,Saladas,1
Corrientes,Curuzu Cuatia,1
Corrientes,Itati,1
Corrientes,San Cosme,1
Corrientes,Mercedes,1
Córdoba,Capital,17
Córdoba,San Justo,12
Córdoba,Rio Cuarto,10
Córdoba,Punilla,7
Córdoba,Marcos Juarez,6
Córdoba,Colon,6
Córdoba,Rio Segundo,6
Córdoba,Calamuchita,6
Córdoba,Santa Maria,6
Córdoba,San Javier,4
Córdoba,Rio Primero,3
Córdoba,Juarez Celman,3
Córdoba,General San Martin,3
Córdoba,Tercero Arriba,3
