Provincia,Departamento,Cant_EE,Cant_BP,Poblacion
Ciudad Autónoma de Buenos Aires,Ciudad Autonoma De Buenos Aires,2776,43,3095454
Córdoba,Capital,1400,20,1498060
Santa Fe,Rosario,1248,39,1337958
Buenos Aires,La Matanza,1186,16,1837168
Buenos Aires,La Plata,832,33,756074
Chaco,San Fernando,810,31,413764
Santa Fe,La Capital,728,23,568259
Buenos Aires,General Pueyrredon,664,6,660569
Buenos Aires,Lomas De Zamora,647,12,685644
Entre Ríos,Parana,591,11,388716
Tucumán,Capital,586,10,587289
Río Negro,General Roca,548,29,379627
Buenos Aires,Quilmes,542,9,631774
Buenos Aires,Almirante Brown,489,11,583209
Neuquén,Confluencia,452,40,467217
Misiones,Capital,445,7,391498
Córdoba,San Justo,434,20,228951
Buenos Aires,Moreno,428,16,575758
Buenos Aires,Lanus,428,13,460081
Buenos Aires,Merlo,426,4,581484
Chaco,General Guemes,425,1,68429
Córdoba,Rio Cuarto,401,16,277979
Buenos Aires,Tigre,394,13,446291
Salta,Capital,388,27,624003
Corrientes,Capital,384,15,437446
Santa Fe,General Obligado,377,14,197533
Formosa,Patiño,376,2,81600
Buenos Aires,Avellaneda,367,15,366117
Buenos Aires,General San Martin,364,14,444503
Buenos Aires,Bahia Blanca,360,15,334505
Buenos Aires,Moron,357,2,329517
Santiago del Estero,Capital,351,26,328824
Mendoza,San Rafael,345,14,213204
Formosa,Formosa,344,8,268572
Buenos Aires,Florencio Varela,343,10,488103
Santa Fe,General Lopez,342,21,200455
Buenos Aires,Pilar,339,6,393614
Buenos Aires,Berazategui,335,6,358328
Buenos Aires,San Isidro,327,7,295978
Buenos Aires,Tres De Febrero,316,9,362319
Jujuy,Doctor Manuel Belgrano,316,7,319469
Santa Fe,Castellanos,311,21,189464
Córdoba,Colon,306,11,294511
Mendoza,Guaymallen,304,5,320871
Buenos Aires,San Miguel,302,4,327650
Misiones,Obera,297,3,120703
Buenos Aires,Vicente Lopez,284,6,280541
Mendoza,Capital,277,3,123715
Formosa,Pirane,267,3,72560
Santiago del Estero,Banda,262,13,170401
Buenos Aires,Malvinas Argentinas,255,5,349401
