id,nombre_biblioteca,fecha_fundacion,mail,id_departamento
3019,Bib.Pop. Juan Bautista Alberdi,1933-06-12,bibliobocajuniors@yahoo.com.ar,2000
2916,Bib.Pop. Universidad Popular de Belgrano Alfredo Fazio y Bi,1941-12-23,bibazarolagil@hotmail.com,2000
28,Bib.Pop. Villa Pueyrredón Norte,1916-06-16,bibliotecapueyrredon@hotmail.com,2000
18,Bib.Pop. Helena Larroque de Roffo,1916-05-01,asociacionroffo@yahoo.com.ar,2000
2675,Bib.Pop. Dr. Angel M. Giménez,,,2000
4197,Bib. Pop. Federico Lacroze,1980-01-01,bpflacroze@gmail.com,2000
4207,Cen. Cult. y Bib. Pop. Carlos Sanchez Viamonte,1980-01-01,carlossanchezviamonte@yahoo.com.ar,2000
32,Bib.Pop. Alberdi,1910-07-08,bibliotecapopularalberdi@yahoo.com.ar,2000
2177,Bib.Pop. Mariano Boedo,1980-01-01,bibliotecapopularmarianoboedo@yahoo.com.ar,2000
62,Bib.Pop. D.F.Sarmiento,1980-01-01,,2000
77,Bib.Pop. Cornelio Saavedra,1918-03-14,,2000
78,Bib.Pop. José Enrique Rodo,1917-03-25,bibliotecajerodo@yahoo.com.ar,2000
2233,Asoc.Vec. y Bib.Pop. Villa del Parque,1929-01-01,asocvecvilladelparque@hotmail.com,2000
3884,Bib. Pop. Por caminos de libros y solidaridad,1999-10-22,,2000
4266,Bib. Pop. La Memoria de Nuestro Pueblo,2005-12-22,bplamemoria@gmail.com,2000
19,Bib.Pop. 12 de Octubre,1910-10-12,popular12deoctubre@hotmail.com,2000
3982,Bib.Pop. Lectores del pueblo,1980-01-01,,2000
3270,Bib.Pop. Casa de la Cultura de Liniers,1994-03-05,,2000
2014,Bib.Pop. Gral. Benito Nazar,1936-05-01,bibliotecanazar@yahoo.com.ar,2000
4252,Asoc. Cultural y Bib. Pop. Tesis 11,2004-03-08,tesis11@tesis11.org.ar,2000
1344,Bib.Pop. Dr. Tristán J. González,1928-03-30,trjgonzalez@outlook.com,2000
1843,Asoc.Vec. Cir.Cult. Belisario Roldán de Versailles,1980-01-01,bibliotecabelisarioroldan@yahoo.com.ar,2000
2558,Bib.Pop. Gral. Alvear,1950-10-25,asociacionalvear@yahoo.com.ar,2000
2828,Bib.Pop. Eurindia,1941-03-25,,2000
4006,Bib.Pop. Dr. Arturo Jauretche,2001-12-18,,2000
2111,Bib.Pop. y Cent. Cult. Alfredo Costa,1980-01-01,centroproteccion@latinmail.com,2000
2992,Bib. Argentina para ciegos,1924-09-18,,2000
2994,Bib.Pop. Juan B. Rebagliati,1932-05-29,bibliotecarebagliati@yahoo.com.ar,2000
1991,Bib.Pop. Juan Pablo Echagüe,1929-02-01,,2000
25,Bib. Obrera Juan B. Justo,,bibliotecaobrerajuanbjusto@gmail.com,2000
4295,Bib.Pop. Manuel Ugarte,2009-02-26,bibliotecapopularmanuelugarte@gmail.com,2000
4034,Bib.Pop. Hijos del Barrio Piedrabuena Asociación Civil,2001-09-21,bibliotecapopularpiedrabuena@gmail.com,2000
4318,Bib.Pop. Juan José Castelli,2010-03-26,,2000
4341,Bib. Pop. 26 de julio,2010-10-01,biblio.26dejulio@gmail.com,2000
947,Bib.Pop. Ciencia y labor,1918-05-25,bpcienciaylabor@gmail.com,2000
1975,Bib.Pop. El progreso,1916-03-01,,2000
1943,Bib.Pop. Bernardino Rivadavia,1924-04-21,bibliotecabrivadavia@yahoo.com.ar,2000
1793,Bib.Pop. 25 de Mayo,1932-11-15,,2000
1351,Bib.Pop. El resplandor,1928-12-20,susanapariani@hotmail.com,2000
1375,Bib.Pop. Juan María Becciu,1915-10-01,bibliotecabecciu@gmail.com,2000
1187,Bib.Pop. Pueyrredón sud,1920-03-21,bibliotecapueyrredonsud@gmail.com,2000
4268,Bib.Pop. Creando Horizontes Educativos,2010-03-01,bibliopopuche@hotmail.com.ar,2000
1131,Bib.Pop. William C.Morris,1907-11-07,bibliomorris@hotmail.com,2000
1278,Bib.Pop. José Ingenieros,1925-01-01,ccibiblio@hotmail.com,6007
88,Bib.Pop. Adolfo Alsina,1912-08-23,,6007
