id_depto,cantidad_jardin,cantidad_primaria,cantidad_secundaria,cantidad_mayores
2000,155314,236991,210663,2492486
6007,1292,1697,1437,12918
6014,950,1401,1170,9326
6021,904,1378,1198,9426
6028,43762,67913,58227,413307
6035,22784,37082,32476,273775
6042,1699,2442,2150,15466
6049,5390,8219,7066,54477
6056,22621,33944,28746,249194
6063,3638,5070,4268,35540
6070,3225,4372,3818,27808
6077,2644,3542,2961,22930
6084,1608,2277,2015,15285
6091,25806,41462,35467,255593
6098,7704,11779,9722,71480
6105,2830,3857,3206,27301
6112,3360,4807,4203,33857
6119,2588,3997,3510,22255
6126,8120,12587,10846,76423
6134,6225,9538,7497,47282
6140,1180,1713,1441,11548
6147,1731,2491,2110,16573
6154,1107,1557,1266,10077
6161,1443,1927,1709,12266
6168,760,1013,904,6874
6175,2014,2851,2561,19980
6182,4705,7353,6424,47341
6189,1131,1609,1418,11637
6196,1890,2791,2166,17263
6203,2881,4418,3537,30877
6210,3518,5344,4811,38736
6218,3167,4976,4223,29825
6224,4906,7181,6479,51988
6231,1395,1986,1828,13119
6238,2569,3369,2998,22469
6245,4917,7776,6660,44625
6252,21900,31983,25714,176474
6260,27670,41112,34241,234857
6266,3424,4920,3860,27832
6270,17155,25615,21089,134761
6274,44663,64455,52426,326559
6277,876,1275,1107,7501
6280,3570,4822,4254,32661
6287,758,1137,912,7343
6294,1212,1535,1404,12080
6301,1618,2272,1893,14891
6308,236,338,304,2279
6315,1548,2637,2375,16006
6322,866,1263,980,8426
6329,1466,2054,1823,12637
6336,419,636,493,3298
6343,1095,1705,1390,9951
6351,1104,1321,1175,9242
6357,41427,62565,57730,498847
6364,14137,20970,15698,91510
6371,28038,44539,39634,332292
6385,1801,2538,2039,16152
6392,2797,4006,3428,24824
6399,822,1189,1063,8588
6406,789,1110,965,7717
6408,11620,18866,16751,138124
6410,10707,17692,16004,133580
6412,29597,42316,34014,220600
6413,7543,10433,8728,74260
6420,7455,11364,10072,71509
6427,157034,225872,181212,1273050
6434,28133,44506,39855,347587
6441,52075,77998,67326,558675
6448,901,1366,1152,8077
6455,1982,2771,2543,19840
6462,1361,1838,1700,12254
6466,443,639,570,4518
6469,3480,4674,4080,32957
6476,1302,1865,1638,13301
6483,3294,4668,4035,29421
6490,50825,76967,65257,492595
6497,8352,12341,10388,79030
6505,1935,2768,2260,15690
6511,861,1234,995,8163
6515,25943,40319,34959,248180
6518,2519,3622,3044,23788
6525,5973,8477,7148,43163
6532,5457,7882,6753,50910
6539,48007,71541,59718,402218
6547,1922,3031,2380,17283
6553,596,942,782,6124
6560,50791,76357,60359,388251
6568,18044,28780,26584,256109
6574,1501,2341,2082,13964
6581,6914,10545,9347,74677
6588,3963,5830,4999,37574
6595,8554,13055,11526,88876
6602,2857,4262,3335,27045
6609,3474,4827,4284,32009
6616,662,831,610,5009
6623,8676,12264,10389,83659
6630,408,592,441,3174
6638,34493,49944,41528,267649
6644,3043,4519,3979,27683
6648,10170,14476,11730,65618
6651,998,1459,1232,12702
6655,936,1384,1047,8794
6658,47353,70881,60085,453455
6665,3451,4707,4088,27402
6672,1197,1761,1519,12014
6679,1734,2317,1873,13811
6686,1851,2724,2362,18682
6693,1104,1572,1316,9909
6700,1436,2109,1799,16063
6707,2716,3785,3339,25583
6714,3175,4405,3794,27883
6721,653,963,846,6882
6728,2151,3031,2583,18634
6735,2120,2873,2569,19133
6742,615,865,747,6691
6749,11498,17900,15461,126240
6756,17057,26323,25052,227546
6760,24752,37035,30653,235210
6763,12727,17845,15225,120860
6770,5781,8283,7113,47176
6778,9859,14032,10952,63086
6784,981,1328,1257,8170
6791,9785,14723,12884,107286
6798,873,1125,1059,7638
6805,32611,51961,45401,316318
6812,244,298,231,1755
6819,997,1549,1238,10807
